root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 25
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 26
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 25
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 27
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 26
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 27
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 28
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 28
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 29
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 26
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 29
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 27
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 30
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 28
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 31
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 30
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 31
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 32
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 33
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 29
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 32
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 30
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 34
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 31
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 35
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 32
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 36
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 33
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 37
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 38
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 34
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 35
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 39
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 36
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 37
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 38
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 39
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 40
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 33
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 40
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 41
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 42
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 43
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 44
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 45
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 34
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 46
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 35
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 36
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 37
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 1, Offset: 38
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 41
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 42
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 47
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 48
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 0, Offset: 49
root - INFO - Message Metadata - Topic: wikimedia.recentchange, Partition: 2, Offset: 43
